Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
87,Lee Sin,Jungle,49.05%,22.29%,1.21%,11.93,7.15,6.16,8.08,10,13649,28400,7901,34.8,9.13,64.33,11192,6,0
,,,,,,,,,,,,,,,,,,,
88,Leona,Support,55.30%,13.05%,2.70%,5.18,2.52,5.62,14,6,8258,21463,3762,42.8,0.09,0.12,9387,1,4
,,,,,,,,,,,,,,,,,,,
89,Lissandra,Middle,50.26%,1.34%,0.03%,3.91,5.54,6.21,8.22,8,18984,21421,3224,174.4,1.42,5.7,11409,29,3
,,,,,,,,,,,,,,,,,,,
90,Lissandra,Top,49.77%,0.66%,0.03%,5.28,4.61,6,7.4,8,18419,21474,3248,185,1.16,2.87,11363,35,10
,,,,,,,,,,,,,,,,,,,
91,Lucian,ADC,48.22%,10.47%,0.16%,9.62,7.81,6.29,6.79,12,20261,20386,3473,192.1,2.57,8.35,12935,11,1
,,,,,,,,,,,,,,,,,,,
92,Lucian,Middle,44.78%,1.58%,0.16%,16.33,6.88,6.48,5.68,9,19344,21375,2770,178.7,2.76,9.73,12008,42,1
,,,,,,,,,,,,,,,,,,,
93,Lulu,Support,52.38%,10.13%,2.11%,7.71,1.91,5.21,14.57,6,7055,14233,2232,17.5,0.14,0.18,9294,8,6
,,,,,,,,,,,,,,,,,,,
94,Lux,Middle,52.67%,5.72%,0.08%,5.63,6.46,5.46,8.92,9,20894,14604,1163,154.7,0.92,4.73,11363,11,3
,,,,,,,,,,,,,,,,,,,
95,Lux,Support,49.20%,3.72%,0.08%,7.54,4.58,6.36,11.75,10,17238,14358,1239,44,0.48,1.03,10630,15,4
,,,,,,,,,,,,,,,,,,,
96,Malphite,Top,52.85%,3.65%,0.13%,4.25,4.87,4.77,7.95,11,16925,21257,1898,158.8,1.07,2.14,10920,17,8
,,,,,,,,,,,,,,,,,,,
97,Malzahar,Middle,55.78%,6.62%,3.16%,7.51,5.67,5.61,7.56,8,20438,15936,1146,186.3,1.94,7.94,11857,2,0
,,,,,,,,,,,,,,,,,,,
98,Malzahar,Top,54.39%,1.01%,3.16%,16.34,5,5.88,6.72,8,20124,16487,1158,194.3,1.8,4.14,11860,5,0
,,,,,,,,,,,,,,,,,,,
99,Maokai,Jungle,52.69%,1.23%,0.47%,5.76,3.95,5.01,11.07,7,13581,35447,15048,42.1,5,58.27,10311,17,2
,,,,,,,,,,,,,,,,,,,
100,Maokai,Top,53.80%,5.53%,0.47%,4.52,3.56,4.64,9.07,7,16186,32749,11579,154,0.76,1.23,10390,8,2
,,,,,,,,,,,,,,,,,,,
101,Master Yi,Jungle,49.29%,6.95%,0.66%,5.77,8.35,6.94,4.64,10,16468,27897,8796,60.7,8.95,75.27,12320,20,0
,,,,,,,,,,,,,,,,,,,
102,Miss Fortune,ADC,55.05%,12.62%,1.18%,6.14,8.28,6.1,7.92,11,23167,18490,2931,184.6,1.51,5.18,12848,2,1
,,,,,,,,,,,,,,,,,,,
103,Miss Fortune,Support,45.31%,2.46%,1.18%,6.3,4.09,6.78,10.64,7,18194,16991,1354,47.8,0.46,0.91,10582,27,0
,,,,,,,,,,,,,,,,,,,
104,Mordekaiser,Top,48.56%,0.97%,0.03%,6.14,5.14,6.65,5.52,9,19162,18361,10302,171,1.96,3.5,11220,51,2
,,,,,,,,,,,,,,,,,,,
105,Morgana,Middle,52.67%,1.28%,0.54%,8.04,5.23,5.05,9.55,7,19123,19787,1573,159.1,1.04,4.88,11179,19,7
,,,,,,,,,,,,,,,,,,,
106,Morgana,Support,48.89%,5.89%,0.54%,5.62,2.93,6.13,14.1,8,13068,18089,2060,29,0.28,0.46,10084,16,1
,,,,,,,,,,,,,,,,,,,
107,Nami,Support,53.54%,8.91%,0.09%,8.85,2.12,5.19,15.61,5,9204,15266,11805,13.6,0.1,0.12,9449,3,4
,,,,,,,,,,,,,,,,,,,
108,Nasus,Top,50.10%,5.03%,0.39%,3.98,4.85,5.36,5.27,8,16807,31596,1192,181,1.62,2.96,11408,19,11
,,,,,,,,,,,,,,,,,,,
109,Nautilus,Jungle,46.61%,0.40%,0.03%,7.56,3.82,5.41,10.07,6,11133,25031,5449,41.7,3.61,53.71,9932,48,0
,,,,,,,,,,,,,,,,,,,
110,Nautilus,Support,50.37%,1.86%,0.03%,6.62,2.42,5.87,12.97,6,9718,21659,3834,46.6,0.18,0.43,9307,30,1
,,,,,,,,,,,,,,,,,,,
111,Nautilus,Top,49.83%,0.82%,0.03%,5.48,3.58,5.19,8.83,6,14064,23545,1991,150.2,0.67,1.46,10321,50,1
,,,,,,,,,,,,,,,,,,,
112,Nidalee,Jungle,48.17%,4.12%,0.14%,5.31,7.18,5.98,7.39,9,16153,26692,13819,37.4,10.97,73.77,11324,27,3
,,,,,,,,,,,,,,,,,,,
113,Nocturne,Jungle,50.62%,2.65%,0.06%,4.84,7.9,6.09,6.42,10,15944,27797,10117,51.2,7.75,77.35,12032,24,2
,,,,,,,,,,,,,,,,,,,
114,Nunu,Jungle,46.50%,0.81%,0.02%,4.31,3.44,5.44,10.02,7,9443,34578,13715,39.3,8.99,60.31,10146,45,1
,,,,,,,,,,,,,,,,,,,
115,Nunu,Support,38.64%,0.23%,0.02%,7.14,3.01,7.4,12.01,6,10540,23508,4888,38.1,1.03,3.33,9440,34,2
,,,,,,,,,,,,,,,,,,,
116,Nunu,Top,40.56%,0.31%,0.02%,5.44,4.39,6.71,7.02,8,16137,27507,8125,139,1.61,3.28,10321,57,0
,,,,,,,,,,,,,,,,,,,
